label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23
A,0.35666117,0.44817263,0.30447996,0.16530375,0.62258893,0.3271122,0.15204763,0.15484618,0.24682085,0.8931502,0.44698378,0.5059323,0.27594894,0.2314328,0.24190792,0.20890976,0.2688507,0.1292864,0.20477383,0.17106816,0.29677683,0.1699678,0.25860268,0.29138318
A,0.2165591,0.30815965,0.20695575,0.13810378,0.63867,0.35692707,0.15015729,0.17726943,0.24220909,0.99764013,0.45103568,0.24009977,0.24478328,0.19550629,0.14970338,0.16068181,0.20513137,0.088188484,0.17639902,0.23083216,0.24062982,0.012983836,0.15984547,0.23770037
A,0.1669708,0.26259342,0.17863068,0.09202018,0.73389983,0.30261105,0.07853789,0.11281608,0.17955935,0.95450354,0.32764697,0.19893493,0.22790134,0.21983586,0.16827889,0.1188061,0.208714,0.061231058,0.11605846,0.18123189,0.23981483,0.12909342,0.16995013,0.28489685
A,0.20359844,0.29373923,0.19513386,0.10024656,0.6506392,0.31184545,0.095154524,0.13516028,0.22863585,0.708956,0.3496853,0.28152978,0.17877139,0.26632008,0.17110193,0.11613877,0.35471204,0.120298944,0.12449771,0.18748935,0.27834332,0.2764225,0.21353851,0.21835083
A,0.22518572,0.29148397,0.22696486,0.14295785,0.4639338,0.22489122,0.10500466,0.20306401,0.22769378,0.8268117,0.31473333,0.32106486,0.21656275,0.30442348,0.22006737,0.18487333,0.2400071,0.11059828,0.12584805,0.24582204,0.23787498,0.31981426,0.19940443,0.28407747
A,0.22880296,0.32479313,0.21657537,0.12293389,0.79929113,0.41309193,0.128941,0.13861746,0.21111593,0.57741857,0.32140052,0.29269204,0.2707322,0.25837326,0.22084789,0.18398505,0.29889846,0.14818527,0.203674,0.20209512,0.22780181,0.28026113,0.24164453,0.29921016
A,0.21403386,0.278351,0.21860416,0.11918631,0.6670034,0.3384742,0.1080749,0.13730572,0.19566773,0.9141133,0.4145232,0.26406386,0.22531033,0.27499887,0.2266649,0.15580374,0.3203226,0.12667929,0.14871947,0.2075772,0.23729047,0.12091117,0.17328434,0.23573202
A#,0.29456925,0.18743418,0.3215695,0.12623212,0.107886255,0.9015357,0.1356755,0.15178707,0.19719481,0.18356489,0.552494,0.23639295,0.25289172,0.23485157,0.25253448,0.14808634,0.11876644,0.2178965,0.1672528,0.17321776,0.25578427,0.23041208,0.20822422,0.26462966
A#,0.2860285,0.22289748,0.28169575,0.16925357,0.15351757,0.9205973,0.17976904,0.20375301,0.2412998,0.24306399,0.7323707,0.23910296,0.27584663,0.25686267,0.19014446,0.18823119,0.19323443,0.18064684,0.19491331,0.24837038,0.24997918,0.22867352,0.12524119,0.27003554
A#,0.15696026,0.15466028,0.20408861,0.11374251,0.10286863,0.39800754,0.12622032,0.15132517,0.15161094,0.1718345,0.9828791,0.19891359,0.19904505,0.23981805,0.2091951,0.1889593,0.16218668,0.06921855,0.20541596,0.27229226,0.24901731,0.22098674,0.07022367,0.27320832
A#,0.24004908,0.18005319,0.33880904,0.12138496,0.10719907,0.82119566,0.1342603,0.14980486,0.19113807,0.20611653,0.94717073,0.2225071,0.2213648,0.20699337,0.21263127,0.117983446,0.13289313,0.19328558,0.15709655,0.16303547,0.25019413,0.22362573,0.08342372,0.26961952
A#,0.22634847,0.16433458,0.2553236,0.13714209,0.11545276,0.6223684,0.13816884,0.1400118,0.1526254,0.1628378,0.9551578,0.19721179,0.33253548,0.265249,0.2116059,0.22420552,0.18680179,0.21492366,0.21540825,0.22277327,0.22613011,0.22268121,0.11162347,0.2699194
A#,0.1766101,0.18275364,0.21699867,0.12701647,0.097802155,0.7662826,0.15595059,0.1262733,0.119230404,0.13592151,0.89466166,0.148367,0.17627084,0.26072943,0.27610722,0.18269184,0.10522354,0.18780673,0.26746008,0.15648869,0.0930824,0.108417526,0.229184,0.15785907
A#,0.20014049,0.16414544,0.18069191,0.11178818,0.10826728,0.79130787,0.101798564,0.1368649,0.17538078,0.19690527,0.8193136,0.20695029,0.27585763,0.22673438,0.18888079,0.14939903,0.12949054,0.25258034,0.14580843,0.19197583,0.23950829,0.26799932,0.18632548,0.2878217
A#,0.3186804,0.20169657,0.44879177,0.20162137,0.13281353,0.6199784,0.1604009,0.15411042,0.19540405,0.23315784,0.9587101,0.3754469,0.2733053,0.24058524,0.20053518,0.25206977,0.18003213,0.23323911,0.19006409,0.22644056,0.28186253,0.2674583,0.10182334,0.32363933
A#,0.25899497,0.13257521,0.439786,0.09583654,0.10073234,0.7299644,0.105738334,0.09881364,0.109622575,0.1645162,0.94737303,0.26646549,0.24340716,0.19944339,0.14058676,0.13811107,0.15095127,0.19294254,0.16247946,0.1830687,0.17332618,0.14932692,0.113454826,0.29276714
A#,0.3251251,0.1809162,0.62821734,0.109696284,0.09386656,0.70643795,0.1046596,0.123682104,0.1457454,0.18970846,0.91685975,0.3306785,0.24290916,0.2495077,0.24554454,0.13693622,0.120387584,0.20996301,0.13337998,0.19733107,0.20501016,0.15061064,0.1473619,0.3154523
A#,0.22931434,0.17906582,0.24091625,0.12685144,0.13002102,0.9141913,0.122658074,0.15381196,0.19153512,0.21241146,0.3668465,0.19714656,0.22912416,0.20903192,0.18459626,0.14208038,0.13405934,0.19948408,0.121499516,0.18741325,0.21245633,0.24174418,0.3149866,0.24694692
A#,0.15978672,0.1415131,0.1778754,0.119518675,0.10273671,0.3356159,0.10551626,0.14399646,0.16731058,0.19567724,0.938453,0.21204683,0.19622347,0.22485548,0.22337778,0.1952606,0.168011,0.10268354,0.17291558,0.25390813,0.2789698,0.2938973,0.15853225,0.31583452
A#,0.22625828,0.17156105,0.3077773,0.18284984,0.2747308,0.89896744,0.110845156,0.15272954,0.15835084,0.1806424,0.31973326,0.18902951,0.31203064,0.22530334,0.27051866,0.30313417,0.08776915,0.22731884,0.14798291,0.22625841,0.20908405,0.1931712,0.28713652,0.27210817
A#,0.23293099,0.14780901,0.31862977,0.16106772,0.1262073,0.92450345,0.11211161,0.10705306,0.147949,0.16584529,0.35668048,0.16073042,0.20662476,0.20413694,0.286268,0.20906824,0.15843827,0.17962843,0.14159437,0.14389631,0.19202103,0.19125043,0.2986176,0.23874083
A#,0.17685176,0.13090628,0.23145689,0.074336804,0.23535106,0.9302707,0.08547807,0.099546276,0.12499677,0.14170246,0.27594495,0.14292158,0.26800588,0.22366792,0.22104588,0.1350342,0.0999252,0.1851666,0.12828623,0.19898243,0.22369729,0.16248767,0.2524007,0.23385963
A#,0.17721637,0.15589803,0.2885397,0.10157445,0.27447385,0.9159699,0.1376694,0.13957806,0.15329851,0.16945355,0.28871745,0.2013687,0.25228846,0.19395679,0.22096284,0.14206189,0.11932348,0.20586109,0.2286233,0.21501352,0.24601817,0.19829291,0.29804513,0.304774
A#,0.24186629,0.17368416,0.27275693,0.12170876,0.11685716,0.87779677,0.11307802,0.10406934,0.1687355,0.1626479,0.34485057,0.14801596,0.29773942,0.25441983,0.23794074,0.17192774,0.14980027,0.2295587,0.17434749,0.15450238,0.2746127,0.22222643,0.34045398,0.18896347
A#,0.28854978,0.17611489,0.45877373,0.12131479,0.11831281,0.753053,0.15836594,0.12430992,0.1383381,0.2558657,0.94286746,0.27634504,0.24782413,0.26319808,0.2101072,0.1813403,0.17239308,0.19334865,0.2249543,0.2118213,0.22191025,0.24710567,0.12501198,0.2883113
A#,0.26436445,0.19748168,0.2284577,0.13810469,0.12946591,0.65863335,0.14374785,0.16232419,0.20363905,0.25511292,0.90218884,0.2626372,0.30049703,0.2429935,0.18334685,0.16213235,0.15396763,0.21624008,0.15851338,0.19541135,0.23803107,0.27965125,0.15986699,0.27644402
A#,0.23040403,0.13006888,0.24371412,0.09570095,0.1010703,0.84855795,0.113806404,0.12809667,0.15622237,0.17369565,0.55590117,0.25016895,0.2818189,0.16401808,0.16609961,0.11965884,0.1064824,0.26819196,0.13734113,0.16978653,0.20171762,0.16687854,0.23087838,0.2927157
A#,0.24646312,0.19041397,0.36426038,0.14490041,0.15120123,0.9206917,0.17025025,0.18886021,0.22662276,0.25095922,0.7047381,0.21450017,0.24433368,0.21086259,0.24451794,0.18000883,0.2022933,0.17647685,0.16411406,0.20462741,0.26560986,0.26985583,0.17124139,0.20535284
A#,0.28194574,0.23499924,0.35837612,0.18273303,0.1472152,0.866294,0.13885902,0.18036872,0.20312099,0.22933786,0.46658686,0.24431112,0.29889256,0.32264218,0.30904046,0.25775957,0.1913292,0.23292251,0.12629451,0.21384336,0.26189113,0.27248976,0.26854885,0.2775078
A#,0.28406486,0.14831007,0.40113917,0.121879525,0.09906917,0.7096618,0.12834853,0.1270735,0.111712165,0.19837601,0.93173194,0.3260316,0.23105049,0.20785753,0.19153996,0.1740769,0.12809566,0.20397851,0.16067085,0.22807755,0.15519984,0.22955233,0.12598935,0.35701147
A#,0.36546975,0.1847355,0.43074948,0.1446607,0.15016341,0.86524755,0.16393855,0.15279576,0.17511785,0.35140803,0.73890674,0.3777322,0.300185,0.23745227,0.16471432,0.18493502,0.19284676,0.1739288,0.22191915,0.21955879,0.23607607,0.2802601,0.23121648,0.35966423
A#,0.2885656,0.17719594,0.48557603,0.1170136,0.11279875,0.81718546,0.15789825,0.12798773,0.14943074,0.22555251,0.82568675,0.3009399,0.2657452,0.23211268,0.14629331,0.15063348,0.12945816,0.20636027,0.20612293,0.18674214,0.21778896,0.24296336,0.21353027,0.32130846
A#m,0.19844836,0.1950732,0.12786259,0.10815867,0.2517842,0.49749413,0.08942212,0.12166463,0.15525618,0.47991574,0.97664565,0.1664829,0.18615045,0.15297964,0.12309042,0.108648494,0.07933792,0.08564412,0.10958751,0.11427591,0.1809268,0.12528665,0.08625303,0.21453887
A#m,0.34060526,0.4807554,0.25770423,0.21612266,0.16986936,0.8971076,0.17855822,0.23535977,0.40584195,0.3940722,0.80150545,0.3324431,0.23769873,0.1729196,0.1592166,0.13758475,0.12350687,0.21210934,0.13791524,0.15236054,0.2243394,0.26637313,0.1293979,0.2684185
A#m,0.2060479,0.1395392,0.10932896,0.083474986,0.08184177,0.9571013,0.0817953,0.09529969,0.12588158,0.13233703,0.32866076,0.12783909,0.17409685,0.12157188,0.1155627,0.10122488,0.103498295,0.13347411,0.098525755,0.12277309,0.122684985,0.1414113,0.25314137,0.15394205
A#m,0.20194113,0.22769889,0.12216595,0.08902136,0.090354,0.93209976,0.10933245,0.098806486,0.14389613,0.14774081,0.20683125,0.16041335,0.22871152,0.2486838,0.15310018,0.15862156,0.14813259,0.20171985,0.13885672,0.15564059,0.20919678,0.23727725,0.24332981,0.28142306
A#m,0.26431647,0.24831983,0.17725833,0.13096806,0.10686438,0.92160743,0.11159645,0.12040594,0.15229039,0.20340677,0.42880407,0.18942776,0.3024355,0.24676271,0.25010857,0.19603266,0.15376724,0.16038455,0.161306,0.17265473,0.18862775,0.29635358,0.26906398,0.26825622
A#m,0.20709503,0.23607732,0.14134929,0.10935714,0.10146499,0.87352353,0.098193325,0.115903705,0.17201142,0.15041095,0.31494403,0.18749018,0.27446657,0.26242813,0.20565718,0.17800826,0.16101222,0.25859702,0.14668263,0.19468269,0.27684158,0.22167623,0.25254616,0.305431
A#m,0.23039298,0.24247791,0.16157795,0.122302935,0.10045651,0.8361914,0.13160227,0.13322546,0.16311704,0.15672962,0.30400342,0.22637285,0.26268217,0.30947742,0.23689833,0.1937666,0.1336363,0.2892359,0.16496944,0.23010485,0.27436548,0.21563967,0.2557765,0.30889904
A#m,0.45736817,0.5532653,0.22763766,0.1326505,0.12391513,0.86145514,0.12946467,0.16502023,0.26185825,0.26530147,0.6979944,0.36066493,0.26126462,0.22948594,0.19869879,0.13830209,0.14316379,0.23185126,0.14427613,0.21177252,0.2375381,0.26387304,0.18635038,0.32023525
A#m,0.40190756,0.5563157,0.24710426,0.15993609,0.12950855,0.85471874,0.1369646,0.13464461,0.23959543,0.26344645,0.73312634,0.32438862,0.25883675,0.24358355,0.271735,0.18317688,0.1610261,0.20022081,0.18424271,0.17837535,0.20313716,0.27830365,0.24377856,0.29678282
A#m,0.41966242,0.46818435,0.22810109,0.14485039,0.13553853,0.82721704,0.121945806,0.11123348,0.190732,0.19459009,0.69038874,0.284732,0.28736168,0.24331732,0.23773414,0.18948923,0.18095641,0.20957822,0.16969219,0.17696115,0.14193432,0.1968592,0.27010494,0.2738211
A#m,0.21803004,0.20621008,0.15894426,0.11755629,0.11968575,0.83612543,0.13706374,0.15112633,0.19251844,0.23212716,0.8266828,0.23000202,0.30034563,0.23527858,0.21051344,0.17237523,0.17525253,0.2290913,0.21412675,0.21589069,0.23507538,0.2599153,0.15286252,0.29456598
A#m,0.26180118,0.21305025,0.1848255,0.16324246,0.38426355,0.6248541,0.13466261,0.14569923,0.20376644,0.25829887,0.94373685,0.2619396,0.25971475,0.26488844,0.21404727,0.18524292,0.10718928,0.15702218,0.16805723,0.19660328,0.20422593,0.27963328,0.14102007,0.26277483
A#m,0.17201205,0.14668013,0.13854711,0.09509799,0.08406782,0.52150875,0.09969154,0.08614419,0.13915718,0.16338488,0.95110893,0.18410121,0.28338265,0.20800348,0.26282755,0.17361635,0.14473271,0.08239335,0.15809491,0.14880711,0.24870352,0.26694763,0.13444927,0.26728743
A#m,0.16678001,0.20492858,0.16514376,0.15053888,0.12668198,0.29221502,0.10875322,0.12856635,0.18709365,0.22153905,0.9071529,0.15733741,0.22644557,0.23756728,0.26010454,0.24922901,0.20770447,0.10202994,0.17126903,0.19271323,0.28587994,0.3449631,0.19284265,0.23702914
A#m,0.25095192,0.18472594,0.15050864,0.11607868,0.09366111,0.7754507,0.1421947,0.13006736,0.17857456,0.17441691,0.92983407,0.2683958,0.3650691,0.25441393,0.22810166,0.17796648,0.12995496,0.26614496,0.17114654,0.21097635,0.30114344,0.25087088,0.113057554,0.27857772
A#m,0.1211015,0.12659794,0.08456821,0.06523313,0.07494803,0.49074548,0.0744264,0.07467668,0.09682609,0.14775616,0.9799741,0.17074122,0.20537017,0.20028712,0.14388755,0.1121127,0.14502986,0.114196196,0.12817237,0.13822506,0.17912953,0.2518472,0.06480216,0.2848333
A#m,0.15808642,0.16107151,0.08888069,0.09015029,0.08895135,0.6470479,0.0932912,0.11273421,0.11669613,0.14463347,0.9822281,0.17217779,0.26301795,0.23391634,0.12688908,0.14472365,0.15517285,0.17945315,0.14034036,0.1949803,0.17634948,0.22652759,0.08786769,0.2788471
A#m,0.20273556,0.27547204,0.1406933,0.085571304,0.08911146,0.5928078,0.0909582,0.116764165,0.15833507,0.18040238,0.9582747,0.23177932,0.1826859,0.17699672,0.17365108,0.14673826,0.137623,0.14700437,0.13646297,0.21874045,0.28427592,0.25729415,0.12246348,0.2376595
A#m,0.22827248,0.27038795,0.18302765,0.11135848,0.11869981,0.823141,0.111103766,0.11969582,0.16521703,0.16364695,0.908929,0.1865778,0.3105907,0.26396298,0.23511702,0.16220212,0.18402556,0.18081799,0.17144641,0.1838961,0.24460162,0.21044533,0.16519634,0.28067803
A#m,0.21726196,0.25474715,0.12705761,0.105081275,0.33103603,0.86423284,0.08021031,0.09150741,0.13541941,0.3603321,0.89998955,0.15354113,0.17859425,0.18492804,0.15415457,0.15098777,0.14814064,0.16250709,0.09867764,0.100430205,0.13051422,0.11414867,0.19836827,0.18529579
A#m,0.08648355,0.15659201,0.059413202,0.046544496,0.094526224,0.7812117,0.05436742,0.043291025,0.0658005,0.09845234,0.8477928,0.10866011,0.06792147,0.10837801,0.06282118,0.06123124,0.112596445,0.20374046,0.06529399,0.04710824,0.058107242,0.099054515,0.30539557,0.1775504
A#m,0.17574589,0.16756736,0.10916456,0.06896002,0.17405982,0.43097445,0.06537651,0.09874924,0.119065024,0.3566627,0.94430417,0.22217774,0.2522576,0.24070425,0.17557378,0.10583626,0.07859912,0.13076647,0.10030496,0.16941473,0.204366,0.17348579,0.15288317,0.3085039
A#m,0.29436255,0.3162317,0.16803122,0.09991654,0.13564055,0.64979327,0.09475908,0.113421455,0.15809643,0.21780321,0.90384305,0.3466241,0.23915659,0.2034098,0.20499587,0.14090621,0.16618918,0.24910748,0.12280231,0.17432377,0.23601648,0.21921855,0.13951714,0.31378055
A#m,0.27056885,0.28862414,0.19515754,0.12381712,0.13744318,0.76934105,0.11683574,0.103629254,0.15932971,0.17659973,0.8975583,0.33004823,0.23978718,0.19008806,0.24553226,0.20066722,0.15972711,0.21544708,0.16168852,0.1732514,0.22662137,0.2354261,0.15332587,0.32737842
A#m,0.2535691,0.32133093,0.15430693,0.100012675,0.1272889,0.5436532,0.082306914,0.078828946,0.11798368,0.14268711,0.9450364,0.3067019,0.27118427,0.18919389,0.18616754,0.17113815,0.14079864,0.20627497,0.115550436,0.13399498,0.15028198,0.19194531,0.1289927,0.31968188
Am,0.3155444,0.23859791,0.28369576,0.18283573,0.8319018,0.31586644,0.14444913,0.21356963,0.2999706,0.39889604,0.30093157,0.40138388,0.30131733,0.24231863,0.30464503,0.20185883,0.27026236,0.060299233,0.15461995,0.24788131,0.33408782,0.2835229,0.27374262,0.32148343
Am,0.7307111,0.47520682,0.32025966,0.2028406,0.6514293,0.30146262,0.12381542,0.16617835,0.22061577,0.760052,0.43410176,0.6847234,0.2629038,0.21476246,0.27296087,0.19734016,0.21161515,0.11218146,0.12386147,0.143004,0.17894508,0.23481259,0.2017897,0.24032128
Am,0.49127063,0.3763991,0.24454957,0.17341751,0.73817766,0.30720934,0.14111756,0.1911807,0.23229206,0.78166026,0.44898793,0.5893318,0.29289412,0.23433137,0.21289612,0.15983164,0.24242651,0.112602785,0.14493564,0.22576898,0.26206657,0.21891725,0.28013834,0.32228076
Am,0.42988357,0.30036518,0.23483375,0.15084264,0.67435783,0.12351935,0.12401223,0.19293505,0.21501105,0.8851213,0.25162652,0.47009185,0.3704329,0.29612917,0.28044412,0.16062823,0.24670535,0.123741955,0.15007105,0.22132231,0.21806838,0.18685907,0.26289445,0.3545197
Am,0.43046215,0.26725718,0.19776562,0.14351845,0.5811173,0.12381686,0.13550611,0.22458799,0.27107012,0.7756161,0.30532005,0.57403195,0.2536182,0.22700107,0.1942593,0.14800566,0.2418815,0.11304576,0.14830972,0.25526953,0.30957916,0.26532632,0.2623457,0.3495338
Am,0.363605,0.2456073,0.25452158,0.16843618,0.68284464,0.15765983,0.17602217,0.283304,0.33046046,0.8978861,0.3096028,0.30647692,0.26491418,0.21115014,0.22822885,0.18967494,0.25429565,0.1582242,0.18169732,0.26835927,0.32348767,0.18434687,0.30197734,0.26808414
Am,0.21343583,0.1461714,0.103380576,0.10946497,0.75620526,0.10180375,0.08864231,0.1472469,0.15541296,0.6182671,0.1965429,0.26673955,0.24340862,0.22268048,0.16612811,0.16780837,0.32583556,0.13218334,0.15332104,0.26067975,0.24987644,0.259197,0.27982816,0.32739714
Am,0.37058577,0.25228062,0.2059951,0.17627141,0.68020445,0.14375679,0.14731371,0.24115872,0.248081,0.6729705,0.32383513,0.40915683,0.35928652,0.27538747,0.24730319,0.21507764,0.3261986,0.16213128,0.18047813,0.314886,0.2984077,0.29429036,0.3459537,0.3462723
Am,0.17986867,0.118888386,0.09683312,0.07971452,0.8767004,0.082099035,0.06947178,0.10674009,0.12549219,0.5561975,0.14435036,0.18119635,0.23642711,0.1298622,0.10215568,0.10262163,0.26678443,0.0952534,0.081113435,0.11529643,0.12434946,0.26424548,0.15559396,0.21932557
Am,0.2110282,0.187842,0.16601619,0.1149031,0.7303829,0.1072233,0.15970026,0.19238946,0.24816638,0.94316167,0.23994355,0.25086698,0.26588148,0.25465432,0.23969358,0.1617246,0.21022443,0.15479155,0.25189757,0.28206798,0.33685794,0.1283663,0.30754662,0.32167476
Am,0.4047136,0.2849746,0.17666931,0.1477033,0.6530955,0.14272185,0.12034579,0.1788214,0.23745412,0.840791,0.3633508,0.6497746,0.28859863,0.23740977,0.16684394,0.121991344,0.27627861,0.13394812,0.13329054,0.21538788,0.26041144,0.2173313,0.2899603,0.3126006
Am,0.24559602,0.24753062,0.34711677,0.15611227,0.77884865,0.113415584,0.1518426,0.19651638,0.24072136,0.73147434,0.2145859,0.26158905,0.2728285,0.25273734,0.3840401,0.17865503,0.33322775,0.121965155,0.16883282,0.21674988,0.2651005,0.19609654,0.24134378,0.26433992
Am,0.43943128,0.2886173,0.19134936,0.14354637,0.6786271,0.13389792,0.13944532,0.21624054,0.26149347,0.78411573,0.344032,0.5296914,0.31134996,0.2723672,0.19785327,0.13917786,0.250311,0.13671282,0.16870293,0.25814155,0.2948282,0.22945677,0.34514117,0.36942685
Am,0.36417225,0.2386481,0.14001292,0.1202759,0.7068702,0.10407959,0.10312654,0.17518894,0.19507532,0.8972264,0.23820932,0.43539056,0.3263528,0.26175883,0.17061849,0.14224823,0.21298955,0.12855554,0.14882348,0.27411267,0.29746667,0.15391733,0.24631025,0.33890906
Am,0.23311342,0.1603872,0.17212155,0.13288733,0.8935166,0.11910476,0.10840338,0.15348658,0.14291887,0.70409054,0.18468894,0.22968797,0.32185677,0.25709638,0.27731556,0.20444901,0.2297064,0.15746598,0.19441113,0.24772115,0.1972777,0.13589409,0.27060893,0.32620236
Am,0.2841245,0.2441721,0.20548634,0.12783594,0.7994636,0.110473014,0.15082161,0.21074595,0.23754558,0.7726056,0.24436188,0.29879844,0.35038272,0.34073165,0.29974693,0.18541726,0.26426807,0.14720522,0.21692589,0.29694209,0.3260119,0.18177645,0.3469441,0.37853086
Am,0.27409717,0.23711374,0.20615488,0.12935232,0.752879,0.270857,0.13106671,0.16173977,0.21948221,0.6011918,0.2991126,0.37012994,0.29526517,0.27675325,0.27496004,0.16369137,0.2862466,0.09342397,0.17622952,0.21486092,0.27013567,0.31136635,0.23673731,0.3659588
Am,0.2050437,0.13415301,0.098669454,0.08537188,0.67490494,0.07842722,0.06285449,0.089555964,0.130273,0.7496545,0.18426707,0.22221096,0.2683768,0.21558943,0.17369904,0.14628829,0.21688886,0.1027868,0.092969105,0.12881958,0.19041307,0.36656132,0.25839135,0.28982237
